Z=0.020000,Y=0.270,000 OS=0,.20 l/Hp,1.7432,01 [Fe/,H]= 0.0,46320 [,Alpha/F,e]= 0.00,,
M/Msun,logT,logL/Ls,logg,Mv,U-B,B-V,V-R,V-I,#(x=-1),#(x=1.35),#(x=3)
age(Gyr)=,0.001  3,5 points,,,,,,,,,
0.9574429,3.7444,-0.1291,4.4777,5.185,0.287,0.727,0.399,0.765,1.81E+01,8.73E+00,4.61E+00
0.9665197,3.7471,-0.1049,4.4684,5.117,0.268,0.714,0.392,0.753,1.81E+01,8.56E+00,4.45E+00
0.9755677,3.7499,-0.0803,4.4591,5.048,0.248,0.701,0.385,0.742,1.81E+01,8.38E+00,4.29E+00
0.9846626,3.7526,-0.0557,4.4493,4.979,0.23,0.688,0.379,0.73,1.82E+01,8.24E+00,4.16E+00
0.9937976,3.7553,-0.0305,4.4389,4.91,0.212,0.675,0.372,0.719,1.88E+01,8.29E+00,4.12E+00
1.0034175,3.7579,-0.0049,4.4279,4.839,0.195,0.663,0.366,0.709,2.04E+01,8.80E+00,4.30E+00
1.0141669,3.7603,0.0223,4.4149,4.765,0.18,0.651,0.361,0.699,2.17E+01,9.13E+00,4.39E+00
1.0250798,3.7627,0.0501,4.4014,4.69,0.166,0.64,0.355,0.689,2.19E+01,8.99E+00,4.24E+00
1.0360349,3.765,0.0781,4.3872,4.615,0.153,0.629,0.35,0.679,2.22E+01,8.89E+00,4.12E+00
1.0472504,3.7672,0.1069,4.3719,4.538,0.141,0.618,0.344,0.67,2.26E+01,8.85E+00,4.03E+00
1.0586771,3.7694,0.1362,4.3561,4.46,0.13,0.607,0.339,0.661,2.34E+01,8.93E+00,4.00E+00
1.0706895,3.7714,0.1666,4.3386,4.379,0.121,0.598,0.334,0.653,2.50E+01,9.29E+00,4.08E+00
1.0837246,3.7732,0.1987,4.3189,4.295,0.113,0.589,0.33,0.645,2.74E+01,9.89E+00,4.26E+00
1.0981169,3.7748,0.2332,4.2966,4.205,0.106,0.581,0.326,0.638,3.57E+01,1.24E+01,5.23E+00
1.1193966,3.7743,0.2738,4.2623,4.101,0.108,0.581,0.325,0.638,4.31E+01,1.44E+01,5.88E+00
1.1412303,3.7735,0.315,4.2263,3.996,0.112,0.582,0.325,0.638,4.31E+01,1.38E+01,5.45E+00
1.1625191,3.7729,0.3579,4.189,3.887,0.114,0.582,0.325,0.638,4.06E+01,1.24E+01,4.78E+00
1.181874,3.7733,0.4029,4.1528,3.771,0.113,0.578,0.323,0.635,2.78E+01,8.21E+00,3.08E+00
1.1902851,3.7754,0.4342,4.133,3.688,0.105,0.568,0.318,0.626,1.24E+01,3.59E+00,1.33E+00
1.1942522,3.7783,0.4622,4.118,3.613,0.095,0.555,0.312,0.615,6.43E+00,1.85E+00,6.78E-01
1.1967103,3.7814,0.4946,4.0989,3.526,0.085,0.541,0.305,0.603,8.33E+00,2.38E+00,8.68E-01
1.2025841,3.7812,0.5358,4.059,3.42,0.087,0.54,0.304,0.601,1.74E+01,4.90E+00,1.77E+00
1.214096,3.779,0.5644,4.0258,3.349,0.094,0.546,0.307,0.607,2.22E+01,6.14E+00,2.19E+00
1.2248211,3.7765,0.5904,3.9936,3.284,0.103,0.555,0.31,0.614,1.96E+01,5.30E+00,1.87E+00
1.233655,3.7736,0.6131,3.9624,3.228,0.113,0.565,0.314,0.623,1.54E+01,4.10E+00,1.43E+00
1.2402145,3.77,0.6296,3.9338,3.19,0.127,0.578,0.32,0.634,1.13E+01,2.98E+00,1.03E+00
1.2449798,3.7656,0.6384,3.9091,3.173,0.146,0.595,0.328,0.648,8.12E+00,2.12E+00,7.25E-01
1.2483376,3.7609,0.6406,3.8893,3.174,0.168,0.615,0.336,0.664,5.84E+00,1.51E+00,5.16E-01
1.2508223,3.7561,0.6375,3.874,3.189,0.192,0.635,0.345,0.68,4.46E+00,1.15E+00,3.90E-01
1.2527929,3.7513,0.6314,3.8616,3.214,0.219,0.656,0.355,0.697,3.62E+00,9.28E-01,3.15E-01
1.2544373,3.7466,0.6234,3.8514,3.243,0.245,0.676,0.364,0.714,3.08E+00,7.87E-01,2.66E-01
1.2558709,3.7418,0.6138,3.8423,3.278,0.273,0.697,0.374,0.732,2.74E+00,6.99E-01,2.36E-01
1.2571762,3.7371,0.6036,3.8341,3.315,0.3,0.716,0.384,0.75,2.51E+00,6.39E-01,2.15E-01
1.2583824,3.7324,0.5932,3.8261,3.353,0.328,0.736,0.395,0.768,2.37E+00,6.01E-01,2.02E-01
1.2595439,3.7276,0.5831,3.8174,3.392,0.359,0.755,0.405,0.787,2.32E+00,5.88E-01,1.98E-01
1.2607035,3.7229,0.574,3.8081,3.429,0.39,0.774,0.416,0.806,2.38E+00,6.02E-01,2.02E-01
1.2619246,3.7181,0.5667,3.7967,3.463,0.423,0.794,0.427,0.825,2.55E+00,6.44E-01,2.16E-01
1.2632553,3.7133,0.5629,3.7817,3.489,0.457,0.813,0.438,0.844,2.89E+00,7.27E-01,2.43E-01
1.2648132,3.7084,0.5646,3.7609,3.502,0.493,0.832,0.45,0.864,3.43E+00,8.61E-01,2.87E-01
1.2666859,3.7037,0.5745,3.7329,3.493,0.527,0.85,0.46,0.883,4.15E+00,1.04E+00,3.45E-01
1.2689621,3.6996,0.5966,3.6952,3.452,0.556,0.865,0.469,0.898,4.65E+00,1.16E+00,3.84E-01
1.2713338,3.6963,0.6271,3.6523,3.385,0.579,0.877,0.475,0.91,4.75E+00,1.18E+00,3.90E-01
1.2737157,3.694,0.6638,3.6072,3.299,0.594,0.884,0.479,0.917,4.67E+00,1.15E+00,3.80E-01
1.2760057,3.6921,0.7037,3.5605,3.203,0.607,0.89,0.481,0.922,4.45E+00,1.09E+00,3.60E-01
1.2781631,3.6906,0.7458,3.5131,3.1,0.616,0.894,0.483,0.925,4.16E+00,1.02E+00,3.34E-01
1.280165,3.6893,0.7888,3.4656,2.995,0.624,0.897,0.484,0.928,3.85E+00,9.39E-01,3.07E-01
1.282012,3.688,0.8326,3.4172,2.887,0.632,0.901,0.484,0.93,3.54E+00,8.60E-01,2.81E-01
1.2837013,3.6867,0.8766,3.3686,2.779,0.64,0.904,0.485,0.932,3.22E+00,7.81E-01,2.55E-01
1.2852369,3.6853,0.9207,3.3194,2.671,0.65,0.908,0.486,0.935,2.94E+00,7.10E-01,2.31E-01
1.2866415,3.684,0.9653,3.2701,2.562,0.658,0.912,0.487,0.937,2.69E+00,6.48E-01,2.10E-01
1.2879236,3.6825,1.0095,3.2203,2.455,0.668,0.917,0.488,0.94,2.46E+00,5.91E-01,1.91E-01
1.2890997,3.6809,1.0541,3.1697,2.348,0.68,0.923,0.49,0.944,2.24E+00,5.38E-01,1.74E-01
1.2901668,3.6792,1.0986,3.1188,2.242,0.692,0.929,0.492,0.948,2.04E+00,4.89E-01,1.58E-01
1.2911409,3.6774,1.1433,3.0672,2.137,0.705,0.936,0.495,0.953,1.84E+00,4.40E-01,1.42E-01
1.2920062,3.6756,1.188,3.0156,2.033,0.719,0.944,0.497,0.959,1.63E+00,3.90E-01,1.26E-01
1.2927757,3.6735,1.2315,2.9639,1.934,0.735,0.953,0.501,0.966,1.48E+00,3.52E-01,1.13E-01
1.2934841,3.6715,1.2751,2.9126,1.835,0.751,0.963,0.505,0.972,1.36E+00,3.23E-01,1.04E-01
1.2941345,3.6695,1.3185,2.8614,1.736,0.767,0.973,0.508,0.979,1.24E+00,2.95E-01,9.48E-02
1.2947251,3.6673,1.3616,2.8097,1.641,0.784,0.984,0.513,0.987,1.12E+00,2.67E-01,8.56E-02
1.295257,3.6651,1.4045,2.7582,1.546,0.802,0.995,0.517,0.996,1.03E+00,2.43E-01,7.81E-02
1.2957505,3.6628,1.447,2.7066,1.454,0.822,1.008,0.522,1.005,9.55E-01,2.26E-01,7.26E-02
1.2962115,3.6605,1.4896,2.655,1.362,0.841,1.021,0.527,1.014,8.87E-01,2.10E-01,6.73E-02
1.2966377,3.6582,1.5318,2.6037,1.272,0.862,1.034,0.533,1.024,8.38E-01,1.98E-01,6.36E-02
1.2970499,3.6559,1.5744,2.5521,1.181,0.883,1.047,0.539,1.035,1.47E+00,3.46E-01,1.11E-01
1.2981034,3.6531,1.6273,2.4883,1.068,0.909,1.064,0.546,1.048,1.72E+00,4.06E-01,1.30E-01
1.2987694,3.6522,1.6489,2.4634,1.021,0.917,1.07,0.548,1.053,1.15E+00,2.70E-01,8.64E-02
1.29925,3.648,1.7174,2.3782,0.881,0.96,1.097,0.561,1.075,9.13E-01,2.15E-01,6.86E-02
1.2996822,3.6437,1.7855,2.2931,0.746,1.008,1.124,0.575,1.099,8.16E-01,1.92E-01,6.13E-02
1.3000659,3.6393,1.8532,2.2079,0.614,1.061,1.152,0.589,1.125,7.29E-01,1.71E-01,5.47E-02
1.3004108,3.6348,1.9204,2.1228,0.485,1.118,1.18,0.604,1.152,6.49E-01,1.53E-01,4.87E-02
1.3007153,3.6304,1.9874,2.0383,0.358,1.176,1.207,0.619,1.181,5.75E-01,1.35E-01,4.31E-02
1.3009859,3.6259,2.0543,1.9535,0.234,1.236,1.235,0.635,1.213,5.08E-01,1.19E-01,3.80E-02
1.3012237,3.6212,2.1204,1.8687,0.117,1.303,1.265,0.653,1.249,4.47E-01,1.05E-01,3.34E-02
1.3014326,3.6166,2.1862,1.7845,0.004,1.373,1.295,0.672,1.288,3.92E-01,9.20E-02,2.93E-02
1.301616,3.6118,2.251,1.7006,-0.102,1.449,1.327,0.692,1.333,3.48E-01,8.15E-02,2.60E-02
1.3017803,3.6069,2.3154,1.6167,-0.201,1.529,1.361,0.715,1.382,3.38E-01,7.92E-02,2.52E-02
1.3019538,3.6021,2.38,1.5329,-0.298,1.608,1.395,0.737,1.434,3.08E-01,7.22E-02,2.30E-02
1.3020882,3.5972,2.4446,1.4488,-0.39,1.69,1.432,0.762,1.491,2.56E-01,6.00E-02,1.91E-02
1.3022097,3.5923,2.5084,1.3654,-0.475,1.776,1.471,0.788,1.555,2.31E-01,5.42E-02,1.72E-02
1.3023196,3.5874,2.5725,1.2817,-0.554,1.864,1.514,0.816,1.624,2.09E-01,4.89E-02,1.56E-02
1.3024185,3.5824,2.6361,1.1982,-0.625,1.957,1.561,0.846,1.7,1.85E-01,4.32E-02,1.37E-02
1.3025041,3.5771,2.6967,1.1164,-0.678,2.056,1.612,0.88,1.787,1.60E-01,3.75E-02,1.19E-02
1.3025788,3.5717,2.7563,1.0352,-0.722,2.159,1.664,0.915,1.878,1.43E-01,3.34E-02,1.06E-02
1.3026466,3.5662,2.8155,0.9541,-0.758,2.264,1.718,0.952,1.977,1.29E-01,3.02E-02,9.61E-03
1.3027079,3.5606,2.8741,0.8731,-0.782,2.373,1.777,0.992,2.085,1.17E-01,2.75E-02,8.74E-03
1.302764,3.5551,2.9323,0.7929,-0.801,2.484,1.836,1.033,2.197,1.06E-01,2.49E-02,7.91E-03
1.3028142,3.5493,2.9892,0.7128,-0.804,2.602,1.901,1.078,2.321,9.59E-02,2.24E-02,7.13E-03
1.3028599,3.5435,3.045,0.6338,-0.8,2.724,1.967,1.125,2.449,8.76E-02,2.05E-02,6.51E-03
1.3029018,3.5376,3.1001,0.5551,-0.786,2.852,2.035,1.175,2.585,8.02E-02,1.88E-02,5.96E-03
1.3029401,3.5317,3.1551,0.4765,-0.764,2.984,2.105,1.227,2.728,7.22E-02,1.69E-02,5.37E-03
1.302974,3.5256,3.2075,0.3998,-0.724,3.121,2.178,1.283,2.881,6.61E-02,1.55E-02,4.91E-03
1.3030062,3.5194,3.2597,0.3228,-0.675,3.262,2.253,1.341,3.043,6.36E-02,1.49E-02,4.73E-03
1.3030376,3.5135,3.3148,0.2441,-0.637,3.4,2.327,1.398,3.203,1.49E-01,3.49E-02,1.11E-02
1.3031555,3.5069,3.3594,0.1731,-0.549,3.549,2.409,1.462,3.384,1.18E-01,2.76E-02,8.76E-03
,,,,,,,,,,,
age(Gyr)=,6.000 14,0 points,,,,,,,,,
0.4,3.4596,-1.942,4.7724,13.02,1.61,1.876,1.515,3.473,2.27E+01,8.25E+01,1.80E+02
0.4227156,3.4795,-1.8376,4.7716,12.285,1.474,1.762,1.352,3.1,4.54E+01,1.50E+02,3.05E+02
0.4453922,3.4995,-1.7334,4.7701,11.652,1.391,1.68,1.236,2.809,4.52E+01,1.32E+02,2.47E+02
0.4679572,3.5195,-1.6296,4.7677,11.037,1.319,1.599,1.129,2.53,4.51E+01,1.17E+02,2.02E+02
0.4904915,3.5395,-1.5258,4.7644,10.44,1.259,1.519,1.03,2.268,4.82E+01,1.12E+02,1.78E+02
0.5161213,3.5589,-1.4207,4.759,9.87,1.241,1.456,0.959,2.031,5.38E+01,1.11E+02,1.62E+02
0.544302,3.5779,-1.3155,4.7529,9.336,1.237,1.398,0.902,1.823,5.68E+01,1.03E+02,1.39E+02
0.5728892,3.597,-1.2109,4.7469,8.84,1.236,1.332,0.848,1.644,5.81E+01,9.38E+01,1.16E+02
0.6024189,3.6158,-1.1058,4.7388,8.382,1.217,1.263,0.792,1.493,6.96E+01,9.89E+01,1.12E+02
0.6425145,3.6326,-0.9872,4.7154,7.937,1.172,1.199,0.739,1.373,4.72E+01,6.00E+01,6.26E+01
0.6496656,3.6356,-0.9659,4.7109,7.859,1.16,1.187,0.729,1.352,1.43E+01,1.72E+01,1.72E+01
0.656812,3.6386,-0.9446,4.7064,7.783,1.145,1.176,0.719,1.332,1.43E+01,1.68E+01,1.65E+01
0.6640122,3.6416,-0.9232,4.7017,7.706,1.129,1.165,0.709,1.313,1.44E+01,1.64E+01,1.58E+01
0.6711797,3.6447,-0.9017,4.6973,7.629,1.111,1.153,0.699,1.292,1.43E+01,1.59E+01,1.51E+01
0.6783251,3.6477,-0.8802,4.6924,7.553,1.092,1.142,0.689,1.273,1.43E+01,1.56E+01,1.45E+01
0.6855198,3.6506,-0.8587,4.687,7.479,1.074,1.131,0.68,1.255,1.43E+01,1.52E+01,1.39E+01
0.6926694,3.6536,-0.8372,4.682,7.404,1.054,1.119,0.67,1.236,1.43E+01,1.48E+01,1.33E+01
0.6998184,3.6566,-0.8156,4.6769,7.329,1.035,1.107,0.66,1.218,1.50E+01,1.51E+01,1.34E+01
0.7076369,3.6596,-0.7939,4.672,7.255,1.013,1.096,0.65,1.199,1.57E+01,1.54E+01,1.34E+01
0.715539,3.6625,-0.772,4.6666,7.181,0.991,1.084,0.641,1.182,1.59E+01,1.52E+01,1.30E+01
0.723501,3.6654,-0.7499,4.6609,7.106,0.968,1.072,0.631,1.164,1.58E+01,1.47E+01,1.24E+01
0.7313545,3.6683,-0.728,4.6553,7.033,0.944,1.061,0.621,1.147,1.57E+01,1.42E+01,1.17E+01
0.7391751,3.6713,-0.706,4.6499,6.959,0.918,1.049,0.612,1.129,1.56E+01,1.38E+01,1.12E+01
0.7469421,3.6742,-0.6842,4.6442,6.886,0.891,1.037,0.602,1.113,1.56E+01,1.35E+01,1.07E+01
0.7547848,3.6771,-0.6621,4.6382,6.813,0.864,1.025,0.593,1.096,1.56E+01,1.32E+01,1.03E+01
0.7625634,3.68,-0.6401,4.6323,6.741,0.837,1.013,0.583,1.079,1.56E+01,1.28E+01,9.86E+00
0.7703419,3.6829,-0.618,4.6262,6.669,0.809,1.001,0.574,1.063,1.55E+01,1.25E+01,9.44E+00
0.7780815,3.6858,-0.5959,4.62,6.598,0.781,0.989,0.565,1.047,1.56E+01,1.23E+01,9.13E+00
0.7859523,3.6887,-0.5734,4.6135,6.526,0.753,0.977,0.556,1.031,1.55E+01,1.19E+01,8.72E+00
0.7935991,3.6916,-0.5514,4.6073,6.455,0.726,0.964,0.547,1.016,1.55E+01,1.16E+01,8.36E+00
0.8014234,3.6944,-0.5291,4.6005,6.385,0.7,0.952,0.538,1.001,1.64E+01,1.20E+01,8.51E+00
0.8099889,3.6973,-0.5061,4.5937,6.313,0.674,0.94,0.529,0.986,1.69E+01,1.21E+01,8.41E+00
0.8183054,3.7001,-0.4838,4.587,6.244,0.65,0.928,0.521,0.971,1.67E+01,1.17E+01,7.99E+00
0.8267097,3.7029,-0.4611,4.58,6.174,0.625,0.915,0.512,0.957,1.66E+01,1.13E+01,7.63E+00
0.8349421,3.7058,-0.4386,4.5734,6.104,0.6,0.902,0.504,0.942,1.66E+01,1.10E+01,7.31E+00
0.843294,3.7086,-0.4157,4.566,6.033,0.575,0.89,0.496,0.929,1.67E+01,1.08E+01,7.06E+00
0.8516067,3.7114,-0.3928,4.5586,5.963,0.55,0.877,0.487,0.915,1.65E+01,1.05E+01,6.71E+00
0.8597655,3.7142,-0.3701,4.5512,5.894,0.525,0.864,0.479,0.901,1.63E+01,1.01E+01,6.40E+00
0.8679323,3.7171,-0.3473,4.5441,5.824,0.5,0.851,0.471,0.887,1.64E+01,9.94E+00,6.18E+00
0.8761259,3.7199,-0.3242,4.5363,5.755,0.475,0.838,0.463,0.874,1.63E+01,9.69E+00,5.93E+00
0.8842286,3.7227,-0.3013,4.5286,5.686,0.451,0.826,0.455,0.861,1.62E+01,9.45E+00,5.70E+00
0.8923749,3.7254,-0.2781,4.5202,5.618,0.429,0.813,0.448,0.848,1.63E+01,9.28E+00,5.51E+00
0.9005208,3.7282,-0.2548,4.512,5.549,0.406,0.8,0.44,0.836,1.68E+01,9.35E+00,5.47E+00
0.9091553,3.731,-0.2316,4.5042,5.482,0.383,0.787,0.432,0.823,1.74E+01,9.48E+00,5.45E+00
0.917911,3.7337,-0.208,4.4955,5.413,0.363,0.775,0.425,0.811,1.75E+01,9.35E+00,5.30E+00
0.9266973,3.7364,-0.1841,4.4866,5.345,0.342,0.762,0.418,0.799,1.75E+01,9.11E+00,5.08E+00
0.9353855,3.7391,-0.1603,4.4776,5.277,0.323,0.75,0.411,0.787,1.74E+01,8.85E+00,4.86E+00
0.9440616,3.7418,-0.1364,4.4685,5.209,0.304,0.737,0.404,0.775,1.75E+01,8.71E+00,4.71E+00
0.952852,3.7444,-0.1119,4.4584,5.141,0.285,0.725,0.398,0.764,1.75E+01,8.55E+00,4.56E+00
0.9615834,3.7471,-0.0875,4.4488,5.072,0.266,0.713,0.391,0.752,1.76E+01,8.40E+00,4.41E+00
0.9704432,3.7497,-0.0624,4.4381,5.002,0.248,0.7,0.385,0.741,1.79E+01,8.37E+00,4.33E+00
0.9794929,3.7523,-0.0366,4.4267,4.931,0.23,0.688,0.378,0.73,1.80E+01,8.22E+00,4.18E+00
0.9884083,3.7547,-0.0111,4.4148,4.86,0.214,0.676,0.373,0.72,1.80E+01,8.06E+00,4.04E+00
0.9974895,3.7572,0.0153,4.4023,4.788,0.198,0.664,0.367,0.71,1.91E+01,8.36E+00,4.13E+00
1.0075011,3.7595,0.0424,4.3888,4.715,0.184,0.653,0.361,0.7,2.08E+01,8.92E+00,4.33E+00
1.0183377,3.7616,0.0713,4.3729,4.637,0.171,0.643,0.356,0.691,2.20E+01,9.17E+00,4.38E+00
1.0294752,3.7637,0.1009,4.3564,4.558,0.159,0.632,0.351,0.682,2.27E+01,9.25E+00,4.34E+00
1.0410796,3.7656,0.1314,4.3384,4.477,0.149,0.623,0.346,0.674,2.43E+01,9.62E+00,4.43E+00
1.0537651,3.7672,0.1641,4.3174,4.391,0.14,0.614,0.342,0.667,2.58E+01,9.93E+00,4.48E+00
1.0668673,3.7687,0.1983,4.2945,4.301,0.133,0.606,0.338,0.66,2.55E+01,9.53E+00,4.21E+00
1.0792188,3.7701,0.2335,4.2699,4.209,0.126,0.599,0.334,0.653,2.44E+01,8.89E+00,3.85E+00
1.0912539,3.7714,0.2694,4.244,4.115,0.12,0.591,0.33,0.647,2.45E+01,8.69E+00,3.70E+00
1.1037178,3.7724,0.3081,4.2143,4.014,0.116,0.585,0.327,0.642,2.49E+01,8.62E+00,3.60E+00
1.1161854,3.7733,0.348,4.1829,3.91,0.112,0.58,0.324,0.637,2.60E+01,8.75E+00,3.59E+00
1.1297343,3.7736,0.3925,4.1448,3.795,0.111,0.576,0.322,0.633,2.59E+01,8.47E+00,3.41E+00
1.1420612,3.7731,0.4338,4.1062,3.69,0.114,0.576,0.321,0.633,2.27E+01,7.24E+00,2.86E+00
1.1524193,3.7716,0.468,4.0699,3.603,0.12,0.58,0.323,0.636,1.93E+01,6.02E+00,2.34E+00
1.1613273,3.7693,0.4964,4.0357,3.533,0.129,0.587,0.326,0.642,1.64E+01,5.03E+00,1.93E+00
1.1688007,3.7666,0.5204,4.0037,3.474,0.141,0.597,0.33,0.65,1.35E+01,4.09E+00,1.56E+00
1.1748574,3.7633,0.5393,3.9738,3.43,0.156,0.61,0.335,0.66,1.07E+01,3.19E+00,1.20E+00
1.1795003,3.7593,0.5518,3.947,3.404,0.176,0.626,0.342,0.673,8.18E+00,2.42E+00,9.06E-01
1.1830341,3.7548,0.5581,3.924,3.395,0.2,0.644,0.35,0.688,6.27E+00,1.84E+00,6.87E-01
1.1857748,3.7502,0.559,3.9057,3.401,0.225,0.664,0.359,0.704,4.78E+00,1.40E+00,5.19E-01
1.1878177,3.7454,0.5559,3.8904,3.419,0.253,0.684,0.369,0.721,3.64E+00,1.06E+00,3.92E-01
1.1894151,3.7407,0.5498,3.8783,3.444,0.28,0.703,0.378,0.739,2.89E+00,8.38E-01,3.10E-01
1.1907084,3.7361,0.5425,3.8676,3.473,0.307,0.722,0.388,0.756,2.46E+00,7.11E-01,2.62E-01
1.1918739,3.7314,0.5343,3.8575,3.506,0.336,0.742,0.398,0.774,2.23E+00,6.43E-01,2.37E-01
1.192939,3.7267,0.526,3.8473,3.541,0.366,0.761,0.409,0.793,2.06E+00,5.92E-01,2.18E-01
1.1939319,3.7221,0.5183,3.837,3.574,0.397,0.78,0.42,0.811,2.02E+00,5.79E-01,2.13E-01
1.194955,3.7174,0.512,3.8249,3.605,0.43,0.799,0.43,0.83,2.05E+00,5.89E-01,2.16E-01
1.1959856,3.7127,0.5086,3.8098,3.63,0.463,0.817,0.441,0.849,2.21E+00,6.33E-01,2.32E-01
1.1971685,3.7079,0.5092,3.7905,3.645,0.498,0.836,0.453,0.869,2.50E+00,7.14E-01,2.61E-01
1.1984875,3.7032,0.5161,3.7653,3.645,0.533,0.854,0.464,0.888,2.89E+00,8.22E-01,3.00E-01
1.2000553,3.6989,0.5335,3.7312,3.616,0.563,0.87,0.473,0.905,3.58E+00,1.02E+00,3.69E-01
1.2020639,3.6954,0.5629,3.6886,3.554,0.588,0.883,0.48,0.918,3.95E+00,1.12E+00,4.05E-01
1.2040007,3.6927,0.5984,3.643,3.473,0.607,0.891,0.485,0.927,3.78E+00,1.07E+00,3.86E-01
1.2058468,3.6907,0.6378,3.5962,3.379,0.62,0.897,0.487,0.932,3.58E+00,1.00E+00,3.63E-01
1.2075804,3.6891,0.6795,3.5487,3.277,0.631,0.902,0.489,0.936,3.35E+00,9.37E-01,3.38E-01
1.2091972,3.6878,0.7224,3.5012,3.172,0.639,0.905,0.49,0.938,3.13E+00,8.72E-01,3.13E-01
1.2107063,3.6867,0.7663,3.4535,3.063,0.645,0.908,0.49,0.939,2.90E+00,8.05E-01,2.89E-01
1.2120939,3.6855,0.8103,3.4052,2.954,0.652,0.911,0.491,0.941,2.67E+00,7.41E-01,2.65E-01
1.21338,3.6843,0.8545,3.3566,2.845,0.66,0.914,0.491,0.943,2.48E+00,6.86E-01,2.45E-01
1.2145748,3.6831,0.8987,3.308,2.737,0.668,0.917,0.492,0.944,2.30E+00,6.35E-01,2.27E-01
1.2156822,3.6817,0.9428,3.2587,2.629,0.677,0.922,0.493,0.947,2.12E+00,5.85E-01,2.08E-01
1.2166995,3.6804,0.9873,3.2094,2.521,0.686,0.926,0.494,0.95,1.95E+00,5.36E-01,1.91E-01
1.2176324,3.6787,1.0313,3.1589,2.416,0.698,0.932,0.496,0.954,1.79E+00,4.92E-01,1.75E-01
1.2184939,3.6771,1.0756,3.1085,2.311,0.71,0.938,0.498,0.958,1.65E+00,4.53E-01,1.61E-01
1.2192869,3.6755,1.1199,3.0581,2.206,0.722,0.944,0.5,0.962,1.51E+00,4.14E-01,1.47E-01
1.2200076,3.6737,1.1631,3.008,2.106,0.736,0.952,0.503,0.968,1.38E+00,3.76E-01,1.33E-01
1.2206622,3.6718,1.2061,2.9576,2.008,0.75,0.961,0.506,0.974,1.26E+00,3.43E-01,1.21E-01
1.2212652,3.6699,1.2491,2.9072,1.91,0.765,0.97,0.509,0.98,1.16E+00,3.15E-01,1.11E-01
1.2218183,3.6678,1.2917,2.8564,1.814,0.782,0.98,0.513,0.988,1.07E+00,2.90E-01,1.02E-01
1.2223304,3.6658,1.3344,2.8059,1.719,0.798,0.991,0.517,0.995,9.74E-01,2.65E-01,9.35E-02
1.2227926,3.6636,1.3764,2.7553,1.627,0.816,1.002,0.522,1.004,8.81E-01,2.39E-01,8.44E-02
1.2232112,3.6614,1.4182,2.7048,1.536,0.835,1.015,0.527,1.013,8.12E-01,2.20E-01,7.77E-02
1.2236042,3.6593,1.4603,2.6545,1.444,0.853,1.027,0.531,1.021,7.64E-01,2.07E-01,7.31E-02
1.2239755,3.657,1.5021,2.6036,1.355,0.873,1.04,0.537,1.031,7.34E-01,1.99E-01,7.01E-02
1.2243384,3.6548,1.5435,2.5535,1.266,0.894,1.053,0.542,1.042,9.16E-01,2.48E-01,8.74E-02
1.2248917,3.6526,1.5854,2.503,1.177,0.914,1.066,0.548,1.052,1.14E+00,3.08E-01,1.08E-01
1.2254765,3.6539,1.5685,2.5253,1.21,0.902,1.059,0.545,1.045,1.15E+00,3.11E-01,1.09E-01
1.2260419,3.6501,1.6372,2.4416,1.066,0.939,1.082,0.555,1.065,9.58E-01,2.59E-01,9.09E-02
1.2264345,3.646,1.7046,2.358,0.93,0.983,1.108,0.568,1.087,7.40E-01,1.99E-01,7.01E-02
1.2267815,3.6418,1.7712,2.2747,0.798,1.031,1.135,0.581,1.111,6.57E-01,1.77E-01,6.21E-02
1.2270911,3.6375,1.8378,2.191,0.668,1.083,1.162,0.595,1.137,5.81E-01,1.57E-01,5.49E-02
1.2273628,3.6332,1.9038,2.1079,0.542,1.139,1.189,0.61,1.164,5.11E-01,1.38E-01,4.83E-02
1.2276021,3.6289,1.9697,2.0249,0.417,1.195,1.216,0.625,1.192,4.49E-01,1.21E-01,4.24E-02
1.2278122,3.6244,2.0351,1.9416,0.298,1.257,1.244,0.641,1.225,3.96E-01,1.07E-01,3.73E-02
1.2279981,3.6199,2.1,1.8587,0.183,1.322,1.273,0.659,1.261,3.51E-01,9.45E-02,3.31E-02
1.2281635,3.6154,2.1645,1.7763,0.072,1.391,1.303,0.677,1.3,3.11E-01,8.35E-02,2.92E-02
1.2283086,3.6107,2.2279,1.6941,-0.03,1.466,1.335,0.698,1.344,2.73E-01,7.35E-02,2.57E-02
1.2284369,3.6059,2.291,1.6119,-0.126,1.544,1.368,0.72,1.394,2.61E-01,7.02E-02,2.46E-02
1.2285697,3.6012,2.3541,1.53,-0.221,1.622,1.402,0.742,1.445,2.40E-01,6.45E-02,2.26E-02
1.228677,3.5963,2.4163,1.4483,-0.306,1.704,1.439,0.767,1.503,2.05E-01,5.49E-02,1.92E-02
1.2287743,3.5916,2.4792,1.3666,-0.39,1.786,1.477,0.792,1.565,1.84E-01,4.94E-02,1.73E-02
1.2288609,3.5867,2.5409,1.2853,-0.463,1.874,1.52,0.82,1.635,1.65E-01,4.43E-02,1.55E-02
1.2289394,3.5818,2.6031,1.2036,-0.531,1.965,1.566,0.85,1.71,1.48E-01,3.97E-02,1.39E-02
1.2290088,3.5767,2.6633,1.123,-0.587,2.061,1.615,0.882,1.793,1.31E-01,3.51E-02,1.23E-02
1.2290703,3.5715,2.7226,1.0429,-0.634,2.16,1.665,0.916,1.881,1.15E-01,3.09E-02,1.08E-02
